Season,Team,AVG,OBP,SLG,OPS,wOBA,R
2007,NYY,0.28966241,0.365556583,0.463354906,0.828911489,0.361308475,968
2003,BOS,0.288958224,0.359667998,0.490899635,0.850567633,0.363553518,961
2004,BOS,0.281993006,0.359987697,0.472377622,0.832365319,0.358408059,949
2019,NYY,0.26741895,0.338626884,0.489879992,0.828506876,0.346391932,943
2019,MIN,0.269888346,0.337513716,0.494068387,0.831582103,0.346877315,939
2006,NYY,0.284551406,0.362716087,0.461334277,0.824050364,0.35569242,930
2019,HOU,0.274006769,0.352452593,0.495456974,0.847909567,0.354671817,920
2009,NYY,0.283392226,0.36175187,0.477561837,0.839313707,0.364685939,915
2005,BOS,0.280661215,0.356706839,0.454496978,0.811203817,0.351905739,910
2003,ATL,0.283597883,0.348804055,0.475485008,0.824289063,0.353894739,907
2008,TEX,0.282646648,0.353571428,0.462115921,0.815687349,0.354528083,901
2019,BOS,0.26932409,0.339841933,0.465857885,0.805699818,0.337962489,901
2004,NYY,0.26831916,0.352931879,0.457752849,0.810684728,0.350262457,897
2017,HOU,0.281767955,0.345544712,0.477811441,0.823356153,0.348602036,896
2003,TOR,0.279102632,0.348811585,0.454513336,0.803324921,0.347283259,894
2007,PHI,0.273909985,0.353732035,0.457981715,0.81171375,0.350993083,892
2015,TOR,0.268651297,0.339628732,0.457070248,0.79669898,0.344204645,891
2007,DET,0.286955011,0.344598862,0.457703665,0.802302527,0.347043044,887
2005,NYY,0.27596017,0.354712247,0.449857752,0.804569999,0.34984142,886
2019,LAD,0.257418532,0.337616447,0.472055343,0.80967179,0.338397078,886
2009,LAA,0.285307719,0.350047908,0.4414799,0.791527808,0.345761921,883
2016,BOS,0.281834215,0.348439233,0.461199294,0.809638527,0.346498885,878
2003,NYY,0.270829616,0.356440281,0.453166815,0.809607096,0.351203545,877
2003,STL,0.278561354,0.350054867,0.45380818,0.803863047,0.346176799,876
2018,BOS,0.268362084,0.338840349,0.453494575,0.792334924,0.339562068,876
2011,BOS,0.280210157,0.34877896,0.460770577,0.809549537,0.351561178,875
2019,WSN,0.264876632,0.341694806,0.454462989,0.796157795,0.33569604,873
2009,BOS,0.269709543,0.351731772,0.453905827,0.805637599,0.351041951,872
2006,CLE,0.280476953,0.348533163,0.457198789,0.805731952,0.346550222,870
2006,CHW,0.280360615,0.342046541,0.464026869,0.80607341,0.345532267,868
2007,BOS,0.279298622,0.361788617,0.443907675,0.805696292,0.351693899,867
2011,NYY,0.263138818,0.34338118,0.444182674,0.787563854,0.344564802,867
2004,CHW,0.267618359,0.332844574,0.456993133,0.789837707,0.33990515,865
2005,TEX,0.267319804,0.329200445,0.468334499,0.797534944,0.343578196,865
2006,PHI,0.266924564,0.347024178,0.44698435,0.794008528,0.34149596,865
2004,TEX,0.265716829,0.329375902,0.456634016,0.786009918,0.336412465,860
2007,COL,0.279564224,0.354014029,0.43735723,0.791371259,0.3456332,860
2010,NYY,0.266750493,0.349826662,0.435961918,0.78578858,0.346143282,859
2004,CLE,0.275722339,0.351296469,0.44397463,0.795271099,0.344759757,858
2017,NYY,0.26153021,0.338546603,0.446549874,0.785096477,0.335514851,858
2004,STL,0.277947794,0.344312339,0.459585958,0.803898297,0.343722632,855
2008,CHC,0.27773801,0.354169963,0.442913385,0.797083348,0.348548317,855
2011,TEX,0.282558755,0.339601414,0.45997526,0.799576674,0.347369528,855
2019,ATL,0.257553956,0.336467963,0.452158273,0.788626236,0.332072371,855
2003,COL,0.26676332,0.344146458,0.44545125,0.789597708,0.341907932,853
2013,BOS,0.277119093,0.349228832,0.446115731,0.795344563,0.346553812,853
2018,NYY,0.249138712,0.329180642,0.45149592,0.780676562,0.335255048,851
2004,SFG,0.2704652,0.357232507,0.437973314,0.795205821,0.339520305,850
2006,ATL,0.270463908,0.33650282,0.454952534,0.791455354,0.338972143,849
2008,BOS,0.279664045,0.357860056,0.447283774,0.80514383,0.351484339,845
2016,COL,0.275026718,0.336137172,0.457427858,0.79356503,0.338709479,845
2019,OAK,0.248876101,0.327211753,0.448300665,0.775512418,0.327436687,845
2004,BAL,0.281380753,0.344508851,0.431659693,0.776168544,0.336739045,842
2004,PHI,0.266702108,0.345431789,0.442849548,0.788281337,0.340171039,840
2003,KCR,0.274066091,0.336301813,0.427083333,0.763385146,0.331672594,836
2004,ANA,0.28246696,0.340759737,0.429074889,0.769834626,0.333587853,836
2006,TEX,0.277610885,0.33834346,0.445838487,0.784181947,0.33742781,835
2019,COL,0.265371024,0.326222935,0.45565371,0.781876645,0.327885975,835
2006,NYM,0.264303706,0.334406179,0.445124145,0.779530324,0.333652773,834
2004,COL,0.274520351,0.345253367,0.454724762,0.799978129,0.344248921,833
2008,MIN,0.278673993,0.34039503,0.407906399,0.748301429,0.327968686,829
2004,DET,0.272274586,0.336701957,0.449226391,0.785928348,0.338604724,827
2003,TEX,0.26588983,0.330036688,0.453566384,0.783603072,0.337839668,826
2017,COL,0.272858691,0.33773216,0.44362125,0.78135341,0.332402976,824
2006,DET,0.27437079,0.328782707,0.448599787,0.777382494,0.333834203,822
2007,LAA,0.284119553,0.344631852,0.417176809,0.761808661,0.332534879,822
2017,CHC,0.255094614,0.337933247,0.437227074,0.775160321,0.331009859,822
2008,DET,0.271051232,0.340422155,0.443892926,0.784315081,0.342762331,821
2005,CIN,0.261096136,0.338696829,0.446361185,0.785058014,0.340080552,820
2006,BOS,0.26873109,0.350537969,0.435130806,0.785668775,0.339986073,820
2006,LAD,0.275764036,0.348293299,0.432480454,0.780773753,0.337103355,820
2009,PHI,0.257977769,0.334076078,0.446934385,0.781010463,0.338920167,820
2017,WSN,0.265982351,0.332198995,0.449306681,0.781505676,0.330781468,819
2010,BOS,0.267623095,0.339076825,0.450938717,0.790015542,0.344847035,818
2017,CLE,0.262928688,0.338647342,0.449283251,0.787930593,0.335931332,818
2018,CLE,0.258623771,0.331739199,0.434316353,0.766055552,0.330300363,818
2009,MIN,0.274429386,0.344559173,0.429029957,0.77358913,0.337905093,817
2007,TEX,0.262826282,0.327972709,0.42610261,0.754075319,0.329035098,816
2017,MIN,0.259852438,0.334081796,0.433687241,0.767769037,0.328870009,815
2019,CHC,0.252334737,0.33127839,0.45193188,0.78321027,0.329643926,814
2006,COL,0.270406328,0.341201027,0.432937792,0.774138819,0.333238256,813
2018,OAK,0.252195734,0.325332053,0.4391468,0.764478853,0.329448627,813
2019,ARI,0.251908396,0.322934903,0.434404402,0.757339305,0.319183473,813
2017,ARI,0.254298642,0.329398447,0.444705882,0.774104329,0.329231054,812
2007,CLE,0.268379728,0.343281225,0.427730192,0.771011417,0.336211532,811
2008,CHW,0.262560777,0.332258584,0.447505852,0.779764436,0.339347281,811
2007,ATL,0.274564949,0.339452445,0.434522763,0.773975208,0.336970358,810
2019,TEX,0.24801444,0.319320937,0.430866425,0.750187362,0.317231773,810
2006,TOR,0.284310221,0.348273092,0.462830593,0.811103685,0.348599161,809
2012,TEX,0.272987477,0.333603107,0.445974955,0.779578062,0.335825507,808
2016,CHC,0.256042158,0.343452002,0.428675268,0.77212727,0.333325746,808
2005,PHI,0.269577769,0.348400445,0.423493323,0.771893768,0.335247239,807
2003,HOU,0.26258284,0.336155935,0.431130216,0.767286151,0.333168815,805
2005,STL,0.269772481,0.338790727,0.423076923,0.76186765,0.330941334,805
2008,CLE,0.262493234,0.338609112,0.424138553,0.762747665,0.334347799,805
2007,NYM,0.275289919,0.342483242,0.432114183,0.774597425,0.336373507,804
2009,COL,0.260837347,0.343065693,0.44053353,0.783599223,0.341363352,804
2012,NYY,0.264663287,0.336935483,0.453113685,0.790049168,0.341522853,804
2018,LAD,0.250179468,0.33264757,0.441672648,0.774320218,0.332617714,804
2004,ATL,0.26983842,0.343071519,0.43357271,0.776644229,0.336008306,803
2004,HOU,0.266642282,0.341759844,0.436174103,0.777933947,0.335891472,803
2009,TBR,0.262541193,0.342852533,0.439399487,0.78225202,0.341625694,803
2010,TBR,0.246920389,0.332851405,0.40301526,0.735866665,0.325969287,802
2003,MIN,0.277099911,0.340974212,0.431476569,0.772450781,0.335441324,801
2006,MIN,0.287040342,0.346619331,0.424848268,0.771467599,0.334200207,801
2007,MIL,0.261973352,0.328909032,0.455887648,0.78479668,0.337439635,801
2008,NYM,0.265965037,0.34040868,0.420442383,0.760851063,0.332079844,799
2008,PHI,0.255400254,0.332150919,0.437829007,0.769979926,0.33407077,799
2017,TEX,0.244198895,0.320150968,0.429834254,0.749985222,0.321232828,799
2009,TOR,0.266151685,0.332754812,0.440308988,0.7730638,0.33711922,798
2018,HOU,0.254905556,0.329196603,0.425270493,0.754467096,0.326582581,797
2013,DET,0.283347863,0.345972309,0.434350479,0.780322788,0.341177965,796
2003,SEA,0.271354073,0.343900096,0.410357849,0.754257945,0.330625975,795
2007,SEA,0.286593947,0.336842105,0.425052779,0.761894884,0.332846287,794
2004,OAK,0.269727653,0.343176872,0.432611731,0.775788603,0.336759838,793
2003,CHW,0.263349735,0.331203931,0.445780936,0.776984867,0.336137667,791
2003,PHI,0.26123038,0.342611738,0.419447952,0.76205969,0.332162303,791
2019,NYM,0.256934566,0.328329607,0.44185633,0.770185937,0.325134626,791
2005,CLE,0.271349616,0.334459459,0.452843644,0.787303103,0.339725082,790
2007,FLA,0.267282743,0.3359375,0.448373911,0.784311411,0.339750238,790
2010,CIN,0.271554041,0.338478855,0.435920415,0.77439927,0.339630496,790
2004,CHC,0.267945984,0.328067064,0.458244491,0.786311555,0.336057991,789
2008,NYY,0.271356783,0.341631866,0.427315147,0.768947013,0.337525599,789
2010,TEX,0.276131322,0.338190552,0.418811002,0.757001554,0.332974354,787
2011,DET,0.276829049,0.339750849,0.433579004,0.773329853,0.337096789,787
2009,MIL,0.26261343,0.341134979,0.426134301,0.76726928,0.33586717,785
2017,BOS,0.25771741,0.329435929,0.406597283,0.736033212,0.316364283,785
2009,TEX,0.259862468,0.319585934,0.444806369,0.764392303,0.331296597,784
2007,CIN,0.266809345,0.33541167,0.436418762,0.771830432,0.3352178,783
2013,STL,0.268850098,0.331760494,0.401475616,0.73323611,0.322204499,783
2007,TBD,0.268192383,0.336056383,0.433398891,0.769455274,0.335419093,782
2008,BAL,0.267314265,0.333387253,0.42885411,0.762241363,0.332899497,782
2006,STL,0.268743208,0.337341566,0.431365447,0.768707013,0.330555823,781
2010,MIN,0.273168103,0.34073002,0.421515804,0.762245824,0.334638793,781
2004,MIN,0.265694469,0.331891025,0.431264449,0.763155474,0.329927913,780
2009,LAD,0.270207439,0.345861084,0.411659513,0.757520597,0.331542972,780
2018,COL,0.255910485,0.322033898,0.435300487,0.757334385,0.324922754,780
2008,STL,0.281227821,0.349896809,0.433286018,0.783182827,0.341957473,779
2016,STL,0.255227108,0.325303152,0.442501802,0.767804954,0.328913885,779
2017,MIA,0.26722599,0.330858618,0.430560514,0.761419132,0.324597421,778
2016,CLE,0.261670313,0.329033311,0.42961342,0.758646731,0.326424148,777
2012,MIL,0.259492531,0.324983734,0.436566492,0.761550226,0.329408946,776
2005,TOR,0.26518545,0.330811332,0.407274681,0.738086013,0.323333097,775
2008,TBR,0.260422306,0.339907746,0.422486915,0.762394661,0.335000501,774
